pl_name,pl_letter,disc_pubdate,disc_method,disc_refname,dkin_flag,ra,dec,glon,glat,pl_orbper,pl_orblper,pl_orbsmax,pl_orbincl,pl_orbtper,pl_orbeccen,cb_flag,sy_pm,sy_pmra,sy_pmdec,sy_plx,sy_dist,pl_eqt,pl_occdep,pl_insol,pl_dens,pl_radj,pl_rade,pl_trueobliq,pl_bmassj,pl_bmasse,pl_ntranspec,sy_gaiamag,sy_tmag,sy_w1mag,sy_w4mag,hostname,sy_name,pl_ratdor,pl_imppar
11 Com b,b,2008-01,rv,<a refstr=LIU_ET_AL__2008 href=https://ui.adsabs.harvard.edu/abs/2008ApJ...672..553L/abstract target=ref> Liu et al. 2008 </a>,0,185.1787793,17.7932516,264.13775,78.28058,323.21,91.33,1.178,,2454519.4,0.238,0,140.3836266,-109.241,88.1701,10.7104,93.1846,803.26,,68.5387,14.9,1.09,12.2,,15.464,4914.89848585,0,4.44038,3.8379,0.639,2.27,11 Com,11 Com,,
11 UMi b,b,2009-10,rv,<a refstr=DOLLINGER_ET_AL__2009 href=https://ui.adsabs.harvard.edu/abs/2009A&A...505.1311D/abstract target=ref> Dollinger et al. 2009 </a>,0,229.2745954,71.8239428,108.719,41.04437,516.21997,117.63,1.53,,2452861.04,0.08,0,10.6790187,3.42996,10.1132,7.95388,125.321,896.43,,114.8502,13.8,1.09,12.3,,14.74,4684.8142,0,4.56216,3.82294,-0.29,1.787,11 UMi,11 UMi,,
14 And b,b,2008-12,rv,<a refstr=SATO_ET_AL__2008 href=https://ui.adsabs.harvard.edu/abs/2008PASJ...60.1317S/abstract target=ref> Sato et al. 2008 </a>,0,352.82415,39.2358367,106.41269,-21.05141,186.76,0,0.775,,2452853,0,0,299.2526179,287.292,-83.7582,13.2289,75.4392,909.92,,115.1634,2.76,1.16,13.1,,3.559,1131.15130051,0,4.91781,4.3214,1.592,2.719,14 And,14 And,,
14 Her b,b,2003-01,rv,<a refstr=BUTLER_ET_AL__2003 href=https://ui.adsabs.harvard.edu/abs/2003ApJ...582..455B/abstract target=ref> Butler et al. 2003 </a>,0,242.6021014,43.8163621,69.16849,46.94447,1766.41,23.2,2.839,146.7,2451372.7,0.3683,0,324.5303062,132.019,-296.464,55.7363,17.9323,147.32,,0.0873,7.96,1.12,12.5,,8.9,2828.6728223,0,6.383,5.8631,4.676,4.674,14 Her,14 Her,,
16 Cyg B b,b,1997-07,rv,<a refstr=COCHRAN_ET_AL__1997 href=https://ui.adsabs.harvard.edu/abs/1997ApJ...483..457C/abstract target=ref> Cochran et al. 1997 </a>,0,295.4656422,50.5168243,83.33558,13.20446,798.5,82.74,1.66,,2450539.3,0.68,0,211.1222128,-134.791,-162.493,47.2754,21.1397,228.76,,0.454,1.26,1.2,13.5,,1.78,565.7374,0,6.06428,5.6281,4.773,4.713,16 Cyg B,16 Cyg,,
17 Sco b,b,2020-12,rv,<a refstr=TALA_PINTO_ET_AL__2020 href=https://ui.adsabs.harvard.edu/abs/2020A&A...644A...1T/abstract target=ref>Tala Pinto et al. 2020</a>,0,243.4620874,-11.8377905,1.30262,27.34301,578.38,57.03,1.45,,2453294.41,0.06,0,10.6681995,-5.62983,-9.06176,7.9805,124.953,847.51,,85.4316,3.51,1.15,12.9,,4.32,1373.01871824,0,4.75429,3.97655,0.122,1.931,17 Sco,17 Sco,,
18 Del b,b,2008-06,rv,<a refstr=SATO_ET_AL__2008 href=https://ui.adsabs.harvard.edu/abs/2008PASJ...60..539S/abstract target=ref> Sato et al. 2008 </a>,0,314.6078375,10.8391378,58.69121,-21.9748,982.85,64.11,2.476,,2454356.1,0.024,0,60.6038527,-50.0335,-34.1976,13.0922,76.222,452.72,,7.0173,8.23,1.12,12.5,,9.207,2926.24614325,0,5.27476,4.7181,3.37,3.308,18 Del,18 Del,,
1RXS J160929.1-210524 b,b,2008-12,ima,<a refstr=LAFRENIERE_ET_AL__2008 href=https://ui.adsabs.harvard.edu/abs/2008ApJ...689L.153L/abstract target=ref> Lafreniere et al. 2008 </a>,0,242.3762343,-21.0831403,352.8905,22.03031,,,330,,,,0,25.3771704,-10.2743,-23.2043,7.15949,139.135,1700,,0,2.54,1.664,18.647,,8,3000,0,12.0572,11.1941,8.794,8.531,1RXS J160929.1-210524,1RXS J160929.1-210524,,
24 Boo b,b,2018-08,rv,<a refstr=TAKARADA_ET_AL__2018 href=https://ui.adsabs.harvard.edu/abs/2018PASJ...70...59T/abstract target=ref>Takarada et al. 2018</a>,0,217.1555242,49.8446488,90.16373,60.6447,30.33,-179.2,0.194,,2455129.2,0.032,0,307.6469784,-304.064,-46.8161,10.39,95.9863,1840.86,,2001.2754,0.574,1.24,13.9,,0.883,280.64248338,0,5.3339,4.7812,,,24 Boo,24 Boo,,
24 Sex b,b,2011-01,rv,<a refstr=JOHNSON_ET_AL__2010 href=https://ui.adsabs.harvard.edu/abs/2010arXiv1007.4552J/abstract target=ref> Johnson et al. 2010 </a>,0,155.8684866,-0.9023998,245.08569,44.7158,452.8,9.2,1.333,,2454762,0.09,0,74.6277468,65.2199,-36.2721,13.8488,72.0691,471.32,,8.2099,1.44,1.19,13.4,,1.99,632.46,0,6.20374,5.6416,4.094,4.201,24 Sex,24 Sex,,
24 Sex c,c,2011-01,rv,<a refstr=JOHNSON_ET_AL__2010 href=https://ui.adsabs.harvard.edu/abs/2010arXiv1007.4552J/abstract target=ref> Johnson et al. 2010 </a>,0,155.8684866,-0.9023998,245.08569,44.7158,883,220.5,2.08,,2454930,0.29,0,74.6277468,65.2199,-36.2721,13.8488,72.0691,377.31,,3.3719,0.559,1.24,13.9,,0.86,273.32,0,6.20374,5.6416,4.094,4.201,24 Sex,24 Sex,,
2M0437 b,b,2022-05,ima,<a refstr=GAIDOS_ET_AL_2022 href=https://ui.adsabs.harvard.edu/abs/2022MNRAS.512..583G/abstract target=ref>Gaidos et al. 2022</a>,0,69.3405531,26.8502997,172.81975,-13.44593,,,118,,,,0,28.3362604,8.63445,-26.9887,7.75524,128.484,1450,,0,3.18,1.16,13,,4,1271.313628,0,14.3374,13.0123,10.284,7.992,2MASS J04372171+2651014,2MASS J04372171+2651014,,
2MASS J01033563-5515561 AB b,b,2013-05,ima,<a refstr=DELORME_ET_AL__2013 href=https://ui.adsabs.harvard.edu/abs/2013A&A...553L...5D/abstract target=ref>Delorme et al. 2013</a>,0,15.8992489,-55.2658291,299.26888,-61.77586,,,84,,,,1,,,,,47.2,,,,12.2,1.1,12.3,,13,4131.79,0,,12.089,9.047,7.817,2MASS J01033563-5515561 A,2MASS J01033563-5515561,,
2MASS J01225093-2439505 b,b,2013-09,ima,<a refstr=BOWLER_ET_AL__2013 href=https://ui.adsabs.harvard.edu/abs/2013ApJ...774...55B/abstract target=ref> Bowler et al. 2013 </a>,0,20.7128012,-24.6646128,195.45385,-82.5199,,,52,,,,0,172.4426671,120.455,-123.398,29.5326,33.8281,1600,,0,30.4,1,11.209,,24.5,7786.5,0,12.9025,11.6243,9.022,8.298,2MASS J01225093-2439505,2MASS J01225093-2439505,,
