hostname,hostid,sy_name,hd_name,hip_name,tic_id,gaia_dr3_id,st_spectype,st_teff,st_rad,st_mass,st_lum,st_dens,st_logg,st_age,st_met,st_metratio,st_radv,st_rotp,st_vsin,st_log_rhk
11 Com,2.56666,11 Com,HD 107383,HIP 60202,TIC 72437047,Gaia DR3 3946945413106333696,G8 III,4874,13.76,2.09,1.97823,,2.45,,-0.26,[Fe/H],43.36898,,1.2,
11 UMi,2.57407,11 UMi,HD 136726,HIP 74793,TIC 230061010,Gaia DR3 1696798367260229376,K4 III,4213,29.79,2.78,2.42951,,1.93,1.56,-0.02,[Fe/H],-17.52023,,1.5,
14 And,2.62086,14 And,HD 221345,HIP 116076,TIC 333225860,Gaia DR3 1920113512486282240,K0 III,4888,11.55,1.78,1.83992,,2.55,4.5,-0.21,[Fe/H],-59.72633,,2.6,
14 Her,2.57735,14 Her,HD 145675,HIP 79248,TIC 219483057,Gaia DR3 1385293808145621504,K0,5338,0.93,0.97,-0.15273,1.273928,4.45,4.6,0.43,[Fe/H],-13.8226,,1,-5.06
16 Cyg B,2.46258,16 Cyg,HD 186427,HIP 96901,TIC 27533327,Gaia DR3 2135550755683407232,G3 V,5750,1.13,1.08,0.09729,1.011029,4.36,7.4,0.06,[Fe/H],-28.1,,2.7,-5.08
17 Sco,2.572988,17 Sco,,HIP 79540,TIC 135596590,Gaia DR3 4342464209753404416,K3 III,4157,25.92,1.22,2.25435,,1.7,5.13,-0.01,[Fe/H],,329.49,3.98,
18 Del,2.58816,18 Del,HD 199665,HIP 103527,TIC 354489950,Gaia DR3 1756741374681702784,G6 III,4980,8.8,2.1,1.63367,,2.87,1.1,-0.06,[Fe/H],4.3454,,,
1RXS J160929.1-210524,2.103479,1RXS J160929.1-210524,,,TIC 48964101,Gaia DR3 6243841249531772800,K7 V,4060,1.31316,0.85,-0.37,0.387885,3.99592,0.005,,,,,,
24 Boo,2.57273,24 Boo,HD 127243,HIP 70791,TIC 441712711,Gaia DR3 1603662211901473408,G3 IV,4816,12.19,1.05,1.87691,,2.28,6.92,-0.78,[Fe/H],-7.77089,,3.36,
24 Sex,2.56114,24 Sex,HD 90043,HIP 50887,TIC 1713457,Gaia DR3 3830897080395058048,K0 IV,5098,4.9,1.54,1.164,,3.5,2.7,-0.03,[Fe/H],7.28611,,2.77,
