sy_name,sy_snum,sy_pnum,sy_mnum,cb_flag,ra,dec,glon,glat,sy_dist,sy_plx,sy_pm,sy_pmra,sy_pmdec,sy_gaiamag,sy_tmag,sy_vmag,sy_jmag,sy_kmag,sy_w1mag,sy_w4mag
11 Com,2,1,0,0,185.1787793,17.7932516,264.13775,78.28058,93.1846,10.7104,140.3836266,-109.241,88.1701,4.44038,3.8379,4.72307,2.943,2.282,0.639,2.27
11 UMi,1,1,0,0,229.2745954,71.8239428,108.719,41.04437,125.321,7.95388,10.6790187,3.42996,10.1132,4.56216,3.82294,5.013,2.876,1.939,-0.29,1.787
14 And,1,1,0,0,352.82415,39.2358367,106.41269,-21.05141,75.4392,13.2289,299.2526179,287.292,-83.7582,4.91781,4.3214,5.23133,3.019,2.331,1.592,2.719
14 Her,1,2,0,0,242.6021014,43.8163621,69.16849,46.94447,17.9323,55.7363,324.5303062,132.019,-296.464,6.383,5.8631,6.61935,5.158,4.714,4.676,4.674
16 Cyg,3,1,0,0,295.4656422,50.5168243,83.33558,13.20446,21.1397,47.2754,211.1222128,-134.791,-162.493,6.06428,5.6281,6.215,4.993,4.651,4.773,4.713
17 Sco,1,1,0,0,243.4620874,-11.8377905,1.30262,27.34301,124.953,7.9805,10.6681995,-5.62983,-9.06176,4.75429,3.97655,5.22606,2.943,2.094,0.122,1.931
18 Del,2,1,0,0,314.6078375,10.8391378,58.69121,-21.9748,76.222,13.0922,60.6038527,-50.0335,-34.1976,5.27476,4.7181,5.51048,4.032,3.366,3.37,3.308
1RXS J160929.1-210524,1,1,0,0,242.3762343,-21.0831403,352.8905,22.03031,139.135,7.15949,25.3771704,-10.2743,-23.2043,12.0572,11.1941,12.618,9.82,8.916,8.794,8.531
24 Boo,1,1,0,0,217.1555242,49.8446488,90.16373,60.6447,95.9863,10.39,307.6469784,-304.064,-46.8161,5.3339,4.7812,5.59,3.845,3.159,,
24 Sex,1,2,0,0,155.8684866,-0.9023998,245.08569,44.7158,72.0691,13.8488,74.6277468,65.2199,-36.2721,6.20374,5.6416,6.4535,5.292,4.285,4.094,4.201
